company_name,display_name,year,round,google_drive_link
Authoritive,Authoritive - 2021 - Seed,2021,Seed,https://drive.google.com/file/d/1WKvetKD7PWz3SrPAY2iNJdASVbTzatQ9/view
Avision,Avision - 2018 - Seed,2018,Seed,https://drive.google.com/file/d/1eblzkVD-qHUsvej38qddXNsbZsarvB-V/view
Awake Security,Awake Security - 2020 - Series C,2020,Series C,https://drive.google.com/file/d/1kc-uFSzuSf05QQzTTIddzTsbk8thGf_T/view
Awesome People Ventures Fund 2,Awesome People Ventures Fund 2 - 2021,2021,,https://drive.google.com/file/d/1s4VNj5to7dOh7nEVr-a9QQVgCmKUmzEF/view
B Great,B Great - 2020 - Seed,2020,Seed,https://drive.google.com/file/d/1TwdZba6SuGma44rH62JqnSJyMEyIfNhF/view
Baby Sparks,Baby Sparks - 2019 - Seed,2019,Seed,https://drive.google.com/file/d/1pxkcJJQX-okTGKC825Olc1MasIyCAbB1/view
Baby2Body,Baby2Body - 2017 - Seed,2017,Seed,https://drive.google.com/file/d/1ABYNG5XEVfvyTi6jY9r3pBffIvo4hSi9/view
Babylist,Babylist - 2013 - Seed,2013,Seed,https://drive.google.com/file/d/16iTAJKgCmszTrUteSYYfwuJQMwlmL9Cl/view
Back Office,Back Office - 2019 - Seed,2019,Seed,https://drive.google.com/file/d/1H9YJadOgkh0Y7GUjFt2TV0KqaT73W5iR/view
Backbone,Backbone - 2019,2019,,https://drive.google.com/file/d/1j5ibBkhtT1Wfp7yi9jshZ6W5FmYqEgJ_/view
Backbone,Backbone - 2022 - Series A,2022,Series A,https://drive.google.com/file/d/1htKfINuDDahD-T0yyCoPaRN2K8hxWUc-/view
Backstartup,Backstartup - 2020 - Seed,2020,Seed,https://drive.google.com/file/d/1rcJytJRtdOG_zyXsJJdVok9ljbUPG3Ru/view
Baker Technologies,Baker Technologies - 2016 - Seed,2016,Seed,https://drive.google.com/file/d/1-8Hsrm49s3OYZ6PnWQZvkbMmn_fR-ubK/view
Barcoo,Barcoo - Seed,,Seed,https://drive.google.com/file/d/1fdyiDSRyZfZDO_jk8KFt1lbyFtnNVp6o/view
Barn and Willow,Barn and Willow - 2017 - Series A,2017,Series A,https://drive.google.com/file/d/15MDuZG6qO6QldTwYSMDtI9ISyzu1T9Ac/view
Beacon Pines,Beacon Pines - 2022,2022,,https://drive.google.com/file/d/19tb1LOds166m3BbhSI7_Kny11fqFd9DH/view
Beatdapp,Beatdapp - 2019 - Seed,2019,Seed,https://drive.google.com/file/d/185o5X3BB2ECryF0pEnuOCAUSfWkbb_ym/view
BeautyDate,BeautyDate - 2016 - Seed,2016,Seed,https://drive.google.com/file/d/1cuEjuBEzZh9bB5vqs8ZeN8pXU7cjt8ac/view
Beeketing,Beeketing - 2015 - Seed,2015,Seed,https://drive.google.com/file/d/1fptAEuIe3MkdORqZ2meH_sIGPwpj58a3/view
Belgian Boys,Belgian Boys - 2022 - Series A,2022,Series A,https://drive.google.com/file/d/1K06vVB_Nku-Aj_i7ciicUJNGNsK5JHuS/view
Bellwethr,Bellwethr - 2019 - Seed,2019,Seed,https://drive.google.com/file/d/1K52qNQw13COICrfBoVdO-T3X7S1Y4qpU/view
Ben Revo,Ben Revo - 2017 - Seed,2017,Seed,https://drive.google.com/file/d/11Fs8WWCzFazzeMb-m4uTGZC4Z7K6cCmM/view
Bento,Bento - 2015 - Seed,2015,Seed,https://drive.google.com/file/d/1sq-XlpTdnrG-XsOWf0febtMk3-q6WdjQ/view
Bid Away,Bid Away - 2016,2016,,https://drive.google.com/file/d/1RnqEAiIdUxnkRIvg_hwrYEmpvwbXj-ah/view
BigControls,BigControls - 2016 - Seed,2016,Seed,https://drive.google.com/file/d/1Gj8TEkbXNItPHb-Xp9P3HZskiBfGMgPp/view
Bill Trim,Bill Trim - 2017 - Seed,2017,Seed,https://drive.google.com/file/d/116wT5QMGE0nB1OztPPk75oS7DKlAC3t3/view
Bind,Bind - 2018 - Series A,2018,Series A,https://drive.google.com/file/d/1La6Dl2B6B6Qkm_LMNTAOsgOj8t6c_USA/view
Binpress,Binpress - 2013 - Seed,2013,Seed,https://drive.google.com/file/d/1T7tYxC7tuU6LE135Sn1lVvq4HfIDjH1U/view
Biogrify,Biogrify,,,https://drive.google.com/file/d/1-5fvKP05XykMh9_0DfE6BBsU6FHhbPAs/view
Biomarker Labs,Biomarker Labs - 2017 - Seed,2017,Seed,https://drive.google.com/file/d/1plgFJITOC9wWYxPoAKpC9iVqZTV5hXuT/view
Bioshock,Bioshock - 2002,2002,,https://drive.google.com/file/d/1a9k44SRv7N2Sa8FapjWrqSIUsSgD0Vpl/view
BlaBlaCar,BlaBlaCar - 2016,2016,,https://drive.google.com/file/d/1BrsLbJP-D-SXpqJ5puEyf4z-nLf1j7Fg/view
